,school,gender,age,studytime,failures,extraClasses,activities,health,absences,sessional-1,sessional-2,Final
0,0,1,0.42857142857142855,2,0,0,0,0.5,0.125,0.0,0.0,0.6111111111111112
1,0,1,0.2857142857142857,2,0,0,0,0.5,0.0625,0.5,0.5,0.6111111111111112
2,0,1,0.0,2,0,0,0,0.5,0.1875,0.6666666666666666,0.6666666666666666,0.6666666666666666
3,0,1,0.0,3,0,0,1,1.0,0.0,0.7777777777777778,0.7777777777777778,0.7777777777777778
4,0,1,0.14285714285714285,2,0,0,0,1.0,0.0,0.6111111111111112,0.6111111111111112,0.7222222222222222
5,0,0,0.14285714285714285,2,0,0,1,1.0,0.1875,0.6666666666666666,0.6666666666666666,0.7222222222222222
6,0,0,0.14285714285714285,2,0,0,0,0.5,0.0,0.7222222222222222,0.7222222222222222,0.7222222222222222
7,0,1,0.2857142857142857,2,0,0,0,0.0,0.0625,0.5555555555555556,0.5555555555555556,0.7222222222222222
8,0,0,0.0,2,0,0,0,0.0,0.0,0.8333333333333334,0.8333333333333334,0.9444444444444444
9,0,0,0.0,2,0,0,1,1.0,0.0,0.6666666666666666,0.6666666666666666,0.7222222222222222
10,0,1,0.0,2,0,0,0,0.25,0.0625,0.7777777777777778,0.7777777777777778,0.7777777777777778
11,0,1,0.0,3,0,0,1,0.75,0.0,0.5555555555555556,0.5555555555555556,0.7222222222222222
12,0,0,0.0,1,0,0,1,1.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
13,0,0,0.0,2,0,0,0,0.5,0.0,0.6666666666666666,0.6666666666666666,0.7222222222222222
14,0,0,0.0,3,0,0,0,0.5,0.0,0.7777777777777778,0.7777777777777778,0.8333333333333334
15,0,1,0.14285714285714285,1,0,0,0,0.25,0.1875,0.9444444444444444,0.9444444444444444,0.9444444444444444
16,0,1,0.14285714285714285,3,0,0,1,0.25,0.3125,0.7222222222222222,0.7222222222222222,0.7777777777777778
17,0,1,0.14285714285714285,2,0,0,1,0.75,0.0625,0.7222222222222222,0.7222222222222222,0.7777777777777778
18,0,0,0.2857142857142857,1,3,1,1,1.0,0.0625,0.4444444444444444,0.4444444444444444,0.3888888888888889
